更新年月日,記事タイトル,記事のパス,画像(あれば)
2024/1/20,イオンモールつくばで展示・ワークショップを行いました,2024/aeon.html,2024/img/aeon01.jpg
2023/10/7,地理系ワークショップ「つくマップ」を開催しました,2023/tsukumap.html,2023/img/tsukumap01.jpg
2023/8/29,船橋漁港巡検を実施しました,2023/funabashi.html,2023/img/funabashi01.jpg
2023/1/18,つくば市の五十嵐市長と面会しました,2023/mayor.html,2023/img/mayor01.jpg
2022/10/23,茨城県つくば市若森にかつて存在した若森県について調べよう巡検,2022/wakamori.html,2022/img/wakamori01.jpg
2022/7/26,東急渋谷巡検を実施しました,2022/shibuya.html,2022/img/shibuya01.jpg
2022/4/15,筑波大学新聞に掲載されました,2022/newspaper.html,
